Timestamp,Entry,Mood,Confidence
2025-06-24 13:41:18,I feel good!,ğŸ˜Š Positive,97.92%
2025-06-24 13:41:30,I feel greag!,ğŸ˜Š Positive,61.14%
2025-06-24 13:41:47,I think I am lagging..,ğŸ˜ Negative,81.69%
2025-06-24 13:42:51,I feel like having lots of food!,ğŸ˜Š Positive,94.28%
2025-06-24 13:43:10,"I feel like I am in a race!
",ğŸ˜ Neutral,53.23%
2025-06-24 13:43:36,I dont really wanna talk about it today!,ğŸ˜ Negative,79.83%
2025-06-24 13:56:52,I dont really wanna talk about it today!,ğŸ˜ Negative,79.83%
2025-06-24 13:57:06,good!,ğŸ˜Š Positive,93.69%
2025-06-24 13:57:21,"i feel relaxed!
",ğŸ˜Š Positive,94.11%
2025-06-24 13:58:15,"i feel relaxed!
",ğŸ˜Š Positive,94.11%
2025-06-24 13:58:25,I feel better than yesterday,ğŸ˜Š Positive,96.78%
2025-06-24 14:01:21,I feel like studying.,ğŸ˜ Neutral,53.25%
2025-06-24 14:06:47,I feel like jumping!!,ğŸ˜ Neutral,40.93%
2025-06-24 14:55:50,I feel it will rain.,ğŸ˜ Neutral,76.69%
